2531342,320612,New,End,,,2565833,,2.00000,КР,СМ,,RECV-01,WH1,25.00000,674591,,Светильник светодиодный линейный Feron AL5095 IP65 36W 4000K 1210x70x43мм,120.00000,NEW Заказной товар,,,0,40.00000,ШТ,2026-03-23 00:00:00,EKS000005727,СП,ZX-15-24-C-15,WH1,17.98000,КГ,26.00000,,,,,,,0.00000,0.00000,a.manokhin,Пакет интерфейса поставки:3e47980d-8aee-4af5-9eba-7fe2d3f97e22,2026-03-23 09:27:16,321103,1996352,2565833,0,ЭКС,,3844291,,,,Годен,,,,
2531343,320613,New,End,,,2565834,,2.00000,ШТ,СМ,,RECV-01,WH1,15.00000,674092,,"Кабель ВВГ-Пнг(A)-LS 3х4 ок (N,РЕ)-0,66 бухта 50м ЭКС желт.",26.00000,NEW Кабель и провод,,,0,2.00000,ШТ,2026-03-23 00:00:00,EKS000005726,СП,ZX-09-16-C-15,WH1,27.70000,КГ,26.00000,,,,,,,0.00000,0.00000,a.savitskiy,Пакет интерфейса поставки:2a5b03d7-e12d-4b8e-8686-83847d10bd45,2026-03-23 09:30:52,321102,1996351,2565834,0,ЭКС,,3844296,,,,Годен,,,,
2531344,320614,New,End,,,2565835,,1.00000,КР,СМ,2027-02-24 00:00:00,RECV-01,WH1,34.00000,7669,,"Счетчик  Меркурий 230AМ-01 1,0 5-50А(5-60A)/380В",52.00000,NEW Счетчики,24022027,,0,10.00000,ШТ,2026-03-23 00:00:00,O00000001480,СП,ME-109-01-B-50,WH1,13.48000,КГ,37.00000,,,,,,,0.00000,0.00000,a.savitskiy,Пакет интерфейса поставки:91e1360c-27c2-4337-a2e0-bf966809d4d5,2026-03-23 09:57:01,321104,1996355,2565835,0,ЭКС,,3844312,,,,Годен,,,,
2531345,320614,New,End,,,2565836,,1.00000,ШТ,СМ,2027-02-24 00:00:00,RECV-01,WH1,18.50000,7670,,"Счетчик  Меркурий 230AМ-02 1,0 10-100А/380В",34.00000,NEW Счетчики,24022027,,0,1.00000,ШТ,2026-03-23 00:00:00,O00000001480,СП,ME-101-03-H-40,WH1,1.34200,КГ,10.50000,,,,,,,0.00000,0.00000,a.savitskiy,Пакет интерфейса поставки:91e1360c-27c2-4337-a2e0-bf966809d4d5,2026-03-23 09:57:01,321104,1996354,2565836,0,ЭКС,,3844314,,,,Годен,,,,
2531346,320614,New,End,,,2565837,,2.00000,ШТ,СМ,2027-03-02 00:00:00,RECV-01,WH1,9.00000,7671,,"Счетчик  Меркурий 230AМ-03 0,5S 5-7,5А/380В",27.00000,NEW Счетчики,02032027,,0,2.00000,ШТ,2026-03-23 00:00:00,O00000001480,СП,ME-116-03-A-40,WH1,2.68400,КГ,18.00000,,,,,,,0.00000,0.00000,a.savitskiy,Пакет интерфейса поставки:91e1360c-27c2-4337-a2e0-bf966809d4d5,2026-03-23 09:57:01,321104,1996353,2565837,0,ЭКС,,3844315,,,,Годен,,,,
2531347,320615,New,End,,,2565832,,1.00000,ШТ,СМ,,RECV-01,WH1,5.50000,463490,,КЭАЗ Выключатель автоматический OptiDin BM63-3C6-10-УХЛ3,8.50000,NEW Класс C,,,0,1.00000,ШТ,2026-03-23 00:00:00,O00000001479,СП,ME-101-01-D-20,WH1,0.20000,КГ,7.50000,,,,,,,0.00000,0.00000,r.sagaidak,Пакет интерфейса поставки:c4f8704e-466d-442c-8dd0-6a8a315fcafb,2026-03-23 09:58:40,321101,1996350,2565832,0,ЭКС,,3844280,,,,Годен,,,,
2531348,320618,New,Processed,,,2565904,,1.00000,ГМ,СМ,4712-12-31 00:00:00,RECV-01,WH1,1.00000,0000,,ТРАНЗИТ,1.00000,NEW Транзит,EKF БАРНАУЛ,,0,1.00000,ГМ,2026-03-23 00:00:00,TR-23/03/2026-03,ТР,TR-00,WH1,1.00000,КГ,1.00000,,,,,,,0.00000,0.00000,r.sagaidak,Пакет интерфейса поставки:6e7b8d7d-e248-4c12-b875-9e279d9c0a54,2026-03-23 10:52:43,321119,1996467,2565904,0,ЭКС,,3844415,,,,Годен,,,,
2531349,320616,New,Processed,,,2565905,,1.00000,ГМ,СМ,4712-12-31 00:00:00,RECV-01,WH1,1.00000,0000,,ТРАНЗИТ,1.00000,NEW Транзит,EKF ИРКУТСК,,0,1.00000,ГМ,2026-03-23 00:00:00,TR-23/03/2026-01,ТР,TR-00,WH1,1.00000,КГ,1.00000,,,,,,,0.00000,0.00000,r.sagaidak,Пакет интерфейса поставки:6e7b8d7d-e248-4c12-b875-9e279d9c0a54,2026-03-23 10:52:43,321117,1996465,2565905,0,ЭКС,,3844416,,,,Годен,,,,
2531350,320617,New,Processed,,,2565906,,1.00000,ГМ,СМ,4712-12-31 00:00:00,RECV-01,WH1,1.00000,0000,,ТРАНЗИТ,1.00000,NEW Транзит,EKF КРАСНОЯРСК,,0,1.00000,ГМ,2026-03-23 00:00:00,TR-23/03/2026-02,ТР,TR-00,WH1,1.00000,КГ,1.00000,,,,,,,0.00000,0.00000,r.sagaidak,Пакет интерфейса поставки:6e7b8d7d-e248-4c12-b875-9e279d9c0a54,2026-03-23 10:52:43,321118,1996466,2565906,0,ЭКС,,3844417,,,,Годен,,,,
2531351,320619,New,End,,,2565935,,10.00000,ШТ,СМ,,RECV-01,WH1,10.00000,669840,,"Ledel L-trade 55/45/Д/4,0К/02/IKIII-13/220АС/Standart IP54",155.00000,NEW Длинные ЭЛО < 2 м,,,0,10.00000,ШТ,2026-03-16 00:00:00,EKS000005730,СП,ZX-13-30-A-30,WH1,23.40000,КГ,11.00000,,,,,,,0.00000,0.00000,a.manokhin,Пакет интерфейса поставки:4206cd29-42a4-4cbc-8c02-631e45f6d019,2026-03-23 11:04:55,321107,1996425,2565935,0,ЭКС,,3844450,,,,Годен,,,,
