USER1159,164898,otr02079398,7.00,2026-03-22 14:59:25,zx-09-29-a-10,0.00
USER1159,160264,otr02098139,14.00,2026-03-22 15:01:22,zx-10-28-c-10,0.00
USER1159,831050,otr02095107,5.00,2026-03-22 15:02:21,zx-10-28-b-10,0.00
USER1159,162103,otr02079794,10.00,2026-03-22 15:03:14,zx-10-28-a-10,0.00
USER1159,180921,otr02093906,138.00,2026-03-22 15:04:14,zx-10-27-c-10,0.00
USER1159,86125,otr02099377,81.00,2026-03-22 15:05:19,zx-10-27-c-10,0.00
USER1159,87073,otr02093735,32.00,2026-03-22 15:06:26,zx-10-27-b-10,0.00
USER1159,162092,otr02078302,51.00,2026-03-22 15:07:30,zx-10-27-a-10,0.00
USER1159,51676,otr02088765,97.00,2026-03-22 15:08:28,zx-10-26-c-10,0.00
USER1159,855134,otr02079708,59.00,2026-03-22 15:09:25,zx-10-26-b-10,0.00
USER1159,186323,otr02093528,187.00,2026-03-22 15:10:27,zx-10-26-a-10,0.00
USER1159,162094,otr02079920,41.00,2026-03-22 15:11:52,zx-10-29-a-10,0.00
USER2354,182479,otr02095314,12.00,2026-03-23 10:02:12,ZX-11-26-B-10,0.00
USER2354,47774,otr02093687,100.00,2026-03-23 15:02:30,zx-11-26-b-10,0.00
DS.IVANOV,809347,OTR02096698,13.00,2026-03-23 15:36:26,zx-11-29-a-10,0.00
USER2325,162117,OTR02095169,95.00,2026-03-24 16:43:11,ZX-11-26-A-10,0.00
